id,time,source,scottish,irish,yorkshire
c22b0435-cf1a-469f-bf3d-6be348d90d01,2025-09-28T22:16:23,mic,0.0,26.486248016357422,26.029556274414062
1e80a6a8-a962-4137-9a51-c2bd392723d9,2025-09-28T22:23:01,mic,0.0,14.446764945983887,15.130448341369629
21832f1d-0687-49f4-8a44-a93387258b13,2025-09-28T22:23:07,mic,0.0,24.449831008911133,16.430192947387695
7b4129a6-5bbc-4deb-b204-1aeefe959709,2025-09-28T22:47:35,mic,0.0,29.471254348754883,26.051897048950195
936cb116-60b6-419d-b306-628982d0f3c4,2025-09-28T22:47:39,mic,0.0,23.221242904663086,16.506624221801758
eef26ccb-d9c8-469f-97da-4ca2f1745d8a,2025-09-28T22:49:37,mic,0.0,23.236251831054688,23.105186462402344
d2d97783-b230-4442-bb2b-8df162e13aa3,2025-09-28T22:49:53,mic,0.0,21.369361877441406,18.167877197265625
81082fcd-8d0e-4100-a11b-04cdaabb12a4,2025-09-28T23:01:09,mic,0.0,15.494709968566895,16.169845581054688
6318b767-5f12-47c4-a712-66f9b7c91ffd,2025-09-28T23:01:50,mic,0.0,16.10786247253418,15.323352813720703
000937a8-c33e-454a-ab45-3ba29e265138,2025-09-28T23:04:30,mic,0.0,11.155616760253906,11.982643127441406
7aeb63be-8139-4d24-9bf5-4461c1edf4ed,2025-09-28T23:11:22,mic,0.0,12.534695625305176,13.544136047363281
168cab4c-8a79-4756-a2fc-c30e469f747b,2025-09-28T23:12:29,mic,0.0,11.013871192932129,11.808538436889648
